-0.000000 0.000000  -0.000637 -0.000004 -0.000000 0.000000  0.000007  
0.019988  0.000679  -0.000505 0.000004  0.001037  0.000035  0.000013  
0.039977  0.001358  0.009686  0.000064  0.010549  0.000347  0.000067  
0.059965  0.002036  0.029665  0.000145  0.030104  0.000981  0.000147  
0.079954  0.002715  0.049663  0.000227  0.052947  0.001733  0.000240  
0.099942  0.003394  0.069683  0.000309  0.072554  0.002323  0.000320  
0.119931  0.004073  0.089709  0.000389  0.092314  0.002857  0.000401  
0.139919  0.004752  0.109622  0.000477  0.112251  0.003433  0.000489  
0.159908  0.005430  0.129597  0.000567  0.128923  0.003943  0.000564  
0.179896  0.006109  0.149592  0.000659  0.148809  0.004517  0.000656  
0.199885  0.006788  0.169607  0.000751  0.168442  0.005057  0.000746  
0.219873  0.007467  0.189637  0.000842  0.188152  0.005606  0.000835  
0.239862  0.008146  0.209557  0.000938  0.208013  0.006164  0.000931  
0.259850  0.008824  0.229531  0.001039  0.231213  0.006841  0.001048  
0.279839  0.009503  0.249521  0.001142  0.250718  0.007435  0.001148  
0.299827  0.010182  0.269533  0.001244  0.270428  0.007979  0.001249  
0.319816  0.010861  0.289562  0.001346  0.290265  0.008469  0.001349  
0.339804  0.011540  0.309488  0.001451  0.310051  0.008992  0.001454  
0.359793  0.012219  0.329464  0.001563  0.329811  0.009538  0.001565  
0.379781  0.012897  0.349451  0.001676  0.349496  0.010077  0.001676  
0.399770  0.013576  0.369459  0.001790  0.369180  0.010627  0.001788  
0.419758  0.014255  0.399499  0.001959  0.398656  0.011419  0.001954  
0.439746  0.014934  0.409409  0.002017  0.408650  0.011688  0.002012  
0.459735  0.015613  0.429399  0.002140  0.428535  0.012294  0.002134  
0.479723  0.016291  0.449382  0.002264  0.451353  0.013053  0.002277  
0.499712  0.016970  0.469385  0.002390  0.470985  0.013644  0.002400  
0.519700  0.017649  0.489410  0.002515  0.490593  0.014192  0.002522  
0.539689  0.018328  0.509398  0.002638  0.510327  0.014751  0.002644  
0.559677  0.019007  0.529333  0.002773  0.530239  0.015315  0.002779  
0.579666  0.019685  0.549312  0.002910  0.550074  0.015908  0.002915  
0.599654  0.020364  0.569312  0.003047  0.569680  0.016517  0.003049  
0.619643  0.021043  0.589333  0.003184  0.589414  0.017076  0.003185  
0.639631  0.021722  0.609356  0.003320  0.609175  0.017598  0.003319  
0.659620  0.022401  0.629267  0.003465  0.629288  0.018207  0.003465  
0.679608  0.023079  0.649244  0.003613  0.649045  0.018864  0.003612  
0.699597  0.023758  0.669239  0.003763  0.668549  0.019478  0.003758  
0.719585  0.024437  0.689257  0.003913  0.688283  0.020077  0.003905  
0.739574  0.025116  0.709285  0.004061  0.707992  0.020641  0.004052  
0.759562  0.025795  0.729202  0.004216  0.727752  0.021186  0.004205  
0.779551  0.026473  0.749175  0.004377  0.747637  0.021762  0.004365  
0.799539  0.027152  0.769167  0.004540  0.770558  0.022466  0.004551  
0.819528  0.027831  0.789180  0.004703  0.790192  0.023012  0.004711  
0.839516  0.028510  0.809210  0.004864  0.809851  0.023541  0.004870  
0.859505  0.029189  0.829137  0.005030  0.829660  0.024130  0.005034  
0.879493  0.029867  0.849107  0.005204  0.849570  0.024768  0.005208  
0.899481  0.030546  0.869095  0.005379  0.865988  0.025293  0.005352  
0.919470  0.031225  0.889104  0.005556  0.885391  0.025915  0.005523  
0.939458  0.031904  0.909132  0.005731  0.908262  0.026581  0.005723  
0.959447  0.032583  0.929074  0.005907  0.928276  0.027111  0.005900  
0.979435  0.033261  0.949039  0.006095  0.948187  0.027701  0.006087  
0.999424  0.033940  0.969023  0.006284  0.967894  0.028316  0.006273  
1.019412  0.034619  0.989028  0.006473  0.987476  0.028886  0.006459  
1.039401  0.035298  1.009054  0.006663  1.007312  0.029436  0.006646  
1.059389  0.035977  1.029002  0.006850  1.027123  0.030001  0.006832  
1.079378  0.036656  1.048971  0.007051  1.046857  0.030580  0.007030  
1.099366  0.037334  1.068951  0.007254  1.066639  0.031223  0.007231  
1.119355  0.038013  1.088952  0.007458  1.086142  0.031882  0.007429  
1.139343  0.038692  1.108974  0.007661  1.105825  0.032477  0.007629  
1.159332  0.039371  1.128988  0.007863  1.128900  0.033106  0.007862  
1.179320  0.040050  1.148903  0.008075  1.148760  0.033700  0.008074  
1.199309  0.040728  1.168880  0.008292  1.168645  0.034303  0.008290  
1.219297  0.041407  1.188876  0.008510  1.188252  0.034877  0.008504  
1.239286  0.042086  1.208895  0.008728  1.207860  0.035451  0.008717  
1.259274  0.042765  1.228921  0.008945  1.227619  0.036010  0.008931  
1.279263  0.043444  1.248834  0.009169  1.247581  0.036590  0.009155  
1.299251  0.044122  1.268808  0.009400  1.267388  0.037248  0.009384  
1.319239  0.044801  1.288801  0.009633  1.286916  0.037928  0.009611  
1.339228  0.045480  1.308815  0.009866  1.306548  0.038524  0.009839  
1.359216  0.046159  1.328843  0.010098  1.326308  0.039081  0.010068  
1.379205  0.046838  1.348761  0.010333  1.346068  0.039644  0.010301  
1.399193  0.047516  1.368733  0.010580  1.365853  0.040199  0.010544  
1.419182  0.048195  1.388722  0.010828  1.385688  0.040766  0.010791  
1.439170  0.048874  1.408732  0.011077  1.405296  0.041340  0.011034  
1.459159  0.049553  1.428760  0.011325  1.428345  0.041970  0.011320  
1.479147  0.050232  1.448684  0.011573  1.444816  0.042422  0.011525  
1.499136  0.050910  1.468656  0.011836  1.467963  0.043190  0.011827  
1.519124  0.051589  1.488641  0.012101  1.487769  0.043886  0.012090  
1.539113  0.052268  1.508647  0.012366  1.507400  0.044523  0.012350  
1.559101  0.052947  1.528673  0.012631  1.526981  0.045135  0.012609  
1.579090  0.053626  1.548592  0.012893  1.546840  0.045739  0.012870  
1.599078  0.054304  1.568578  0.013173  1.566675  0.046332  0.013146  
1.619067  0.054983  1.588559  0.013454  1.586559  0.046967  0.013426  
1.639055  0.055662  1.608561  0.013736  1.606013  0.047597  0.013700  
1.659044  0.056341  1.628584  0.014018  1.625721  0.048175  0.013978  
1.679032  0.057020  1.648578  0.014295  1.645456  0.048740  0.014252  
1.699021  0.057698  1.668500  0.014590  1.665415  0.049405  0.014545  
1.719009  0.058377  1.688477  0.014889  1.685221  0.050088  0.014840  
1.738998  0.059056  1.708475  0.015188  1.704776  0.050739  0.015132  
1.758986  0.059735  1.728494  0.015487  1.724229  0.051368  0.015423  
1.778974  0.060414  1.748516  0.015785  1.743988  0.051960  0.015718  
1.798963  0.061093  1.768420  0.016091  1.763976  0.052523  0.016023  
1.818951  0.061771  1.788394  0.016406  1.783886  0.053136  0.016335  
1.838940  0.062450  1.808388  0.016723  1.806781  0.053861  0.016698  
1.858928  0.063129  1.828403  0.017040  1.823150  0.054340  0.016957  
1.878917  0.063808  1.848429  0.017356  1.846198  0.055007  0.017320  
1.898905  0.064487  1.868341  0.017676  1.866184  0.055631  0.017641  
1.918894  0.065165  1.888312  0.018008  1.886093  0.056270  0.017971  
1.938882  0.065844  1.908302  0.018342  1.905723  0.056920  0.018299  
1.958871  0.066523  1.928312  0.018676  1.925227  0.057563  0.018624  
1.978859  0.067202  1.948339  0.019009  1.944987  0.058123  0.018954  
1.998848  0.067881  1.968259  0.019344  1.964798  0.058655  0.019286  
