0.000000  -0.000000 0.000108  -0.000001 0.000000  -0.000000 NaN       
0.009999  0.000164  0.000109  -0.000001 0.000025  0.000000  NaN       
0.019997  0.000328  0.004214  0.000015  0.001012  0.000016  0.000003  
0.029996  0.000493  0.014158  0.000045  0.010882  0.000159  0.000035  
0.039995  0.000657  0.024132  0.000076  0.020803  0.000296  0.000066  
0.049993  0.000821  0.034110  0.000108  0.030674  0.000427  0.000097  
0.059992  0.000985  0.044098  0.000142  0.035634  0.000491  0.000114  
0.069991  0.001149  0.054097  0.000177  0.052059  0.000709  0.000170  
0.079989  0.001313  0.064106  0.000213  0.062056  0.000849  0.000206  
0.089988  0.001478  0.074126  0.000250  0.070382  0.000978  0.000236  
0.099987  0.001642  0.084154  0.000286  0.081897  0.001165  0.000278  
0.109985  0.001806  0.094172  0.000323  0.091590  0.001332  0.000313  
0.119984  0.001970  0.104177  0.000356  0.101485  0.001502  0.000347  
0.129982  0.002134  0.114100  0.000391  0.111000  0.001661  0.000380  
0.139981  0.002298  0.124073  0.000429  0.120946  0.001826  0.000417  
0.149980  0.002463  0.134048  0.000469  0.131094  0.001990  0.000457  
0.159978  0.002627  0.144032  0.000510  0.141065  0.002145  0.000498  
0.169977  0.002791  0.154027  0.000553  0.151113  0.002297  0.000540  
0.179976  0.002955  0.164032  0.000596  0.160755  0.002445  0.000582  
0.189974  0.003119  0.174048  0.000641  0.170599  0.002607  0.000625  
0.199973  0.003284  0.184074  0.000685  0.180418  0.002778  0.000669  
0.209972  0.003448  0.194101  0.000729  0.190262  0.002962  0.000712  
0.219970  0.003612  0.204109  0.000772  0.200183  0.003145  0.000755  
0.229969  0.003776  0.214057  0.000813  0.209926  0.003313  0.000796  
0.239968  0.003940  0.224009  0.000859  0.219720  0.003471  0.000839  
0.249966  0.004104  0.233983  0.000907  0.229463  0.003622  0.000885  
0.259965  0.004269  0.243964  0.000956  0.239283  0.003771  0.000933  
0.269964  0.004433  0.253954  0.001006  0.249305  0.003915  0.000983  
0.279962  0.004597  0.263955  0.001058  0.259326  0.004063  0.001034  
0.289961  0.004761  0.273968  0.001110  0.270968  0.004241  0.001094  
0.299960  0.004925  0.283990  0.001163  0.280787  0.004402  0.001146  
0.309958  0.005089  0.294018  0.001216  0.290505  0.004573  0.001197  
0.319957  0.005254  0.304033  0.001268  0.300197  0.004752  0.001248  
0.329956  0.005418  0.314028  0.001316  0.309991  0.004940  0.001296  
0.339954  0.005582  0.323941  0.001370  0.320037  0.005131  0.001348  
0.349953  0.005746  0.333915  0.001425  0.330033  0.005314  0.001404  
0.359951  0.005910  0.343892  0.001482  0.339979  0.005487  0.001460  
0.369950  0.006075  0.353879  0.001541  0.349925  0.005651  0.001518  
0.379949  0.006239  0.363876  0.001601  0.359744  0.005817  0.001576  
0.389947  0.006403  0.373884  0.001662  0.369639  0.005993  0.001636  
0.399946  0.006567  0.383903  0.001723  0.379559  0.006185  0.001696  
0.409945  0.006731  0.393930  0.001785  0.391225  0.006420  0.001768  
0.419943  0.006895  0.403953  0.001846  0.400942  0.006618  0.001828  
0.429942  0.007060  0.413957  0.001904  0.409090  0.006777  0.001876  
0.439941  0.007224  0.423867  0.001964  0.420326  0.006986  0.001942  
0.449939  0.007388  0.433842  0.002028  0.430171  0.007167  0.002004  
0.459938  0.007552  0.443817  0.002094  0.438446  0.007313  0.002058  
0.469937  0.007716  0.453800  0.002161  0.450188  0.007515  0.002136  
0.479935  0.007881  0.463793  0.002229  0.460185  0.007683  0.002205  
0.489934  0.008045  0.473797  0.002299  0.470181  0.007858  0.002274  
0.499933  0.008209  0.483813  0.002369  0.479974  0.008039  0.002342  
0.509931  0.008373  0.493837  0.002440  0.489768  0.008228  0.002411  
0.519930  0.008537  0.503864  0.002510  0.499358  0.008427  0.002478  
0.529929  0.008701  0.513873  0.002579  0.509379  0.008647  0.002548  
0.539927  0.008866  0.523836  0.002645  0.519147  0.008863  0.002614  
0.549926  0.009030  0.533766  0.002718  0.529091  0.009073  0.002684  
0.559925  0.009194  0.543739  0.002792  0.540656  0.009302  0.002769  
0.569923  0.009358  0.553719  0.002868  0.550449  0.009490  0.002844  
0.579922  0.009522  0.563708  0.002946  0.560369  0.009679  0.002920  
0.589920  0.009686  0.573708  0.003024  0.570213  0.009872  0.002997  
0.599919  0.009851  0.583719  0.003104  0.580234  0.010078  0.003076  
0.609918  0.010015  0.593741  0.003184  0.590205  0.010287  0.003155  
0.619916  0.010179  0.603768  0.003264  0.599972  0.010498  0.003233  
0.629915  0.010343  0.613783  0.003343  0.609664  0.010706  0.003310  
0.639914  0.010507  0.623784  0.003418  0.619330  0.010906  0.003385  
0.649912  0.010672  0.633686  0.003499  0.629149  0.011106  0.003462  
0.659911  0.010836  0.643658  0.003582  0.639094  0.011307  0.003544  
0.669910  0.011000  0.653635  0.003667  0.649064  0.011500  0.003628  
0.679908  0.011164  0.663620  0.003754  0.659111  0.011684  0.003715  
0.689907  0.011328  0.673616  0.003842  0.668955  0.011865  0.003801  
0.699906  0.011492  0.683623  0.003931  0.678850  0.012053  0.003888  
0.709904  0.011657  0.693640  0.004020  0.690212  0.012283  0.003990  
0.719903  0.011821  0.703666  0.004110  0.700132  0.012500  0.004078  
0.729902  0.011985  0.713692  0.004199  0.710076  0.012727  0.004167  
0.739900  0.012149  0.723696  0.004286  0.719869  0.012954  0.004253  
0.749899  0.012313  0.733587  0.004373  0.729838  0.013181  0.004340  
0.759898  0.012477  0.743572  0.004466  0.739480  0.013390  0.004428  
0.769896  0.012642  0.753547  0.004561  0.749323  0.013594  0.004521  
0.779895  0.012806  0.763528  0.004657  0.759319  0.013800  0.004616  
0.789894  0.012970  0.773520  0.004754  0.769163  0.014009  0.004712  
0.799892  0.013134  0.783523  0.004853  0.779209  0.014222  0.004810  
0.809891  0.013298  0.793537  0.004952  0.789078  0.014435  0.004908  
0.819889  0.013463  0.803560  0.005052  0.798946  0.014658  0.005006  
0.829888  0.013627  0.813587  0.005152  0.808688  0.014889  0.005103  
0.839887  0.013791  0.823598  0.005250  0.819974  0.015158  0.005214  
0.849885  0.013955  0.833573  0.005345  0.828121  0.015346  0.005293  
0.859884  0.014119  0.843482  0.005447  0.837990  0.015571  0.005390  
0.869883  0.014283  0.853455  0.005552  0.848010  0.015796  0.005495  
0.879881  0.014448  0.863433  0.005658  0.857981  0.016012  0.005600  
0.889880  0.014612  0.873421  0.005765  0.869418  0.016258  0.005722  
0.899879  0.014776  0.883420  0.005874  0.879287  0.016467  0.005829  
0.909877  0.014940  0.893429  0.005984  0.889080  0.016683  0.005936  
0.919876  0.015104  0.903450  0.006094  0.899176  0.016918  0.006047  
0.929875  0.015268  0.913476  0.006204  0.907400  0.017119  0.006137  
0.939873  0.015433  0.923491  0.006314  0.919014  0.017406  0.006265  
0.949872  0.015597  0.933496  0.006420  0.928654  0.017642  0.006368  
0.959871  0.015761  0.943384  0.006529  0.938396  0.017874  0.006474  
0.969869  0.015925  0.953360  0.006644  0.948189  0.018101  0.006585  
0.979868  0.016089  0.963335  0.006760  0.958133  0.018331  0.006700  
0.989867  0.016254  0.973319  0.006878  0.968331  0.018566  0.006819  
0.999865  0.016418  0.983314  0.006997  0.978098  0.018787  0.006935  
1.009864  0.016582  0.993319  0.007117  0.988017  0.019018  0.007054  
