  -2.2212829e-11	   6.5298272e-10	  -2.3302037e-06	   1.2086983e-05	   2.5305382e-05	   5.1791648e-07	   1.2685665e-05	
   1.9990379e-02	   6.0943343e-04	   6.9410384e-03	   1.6250426e-04	   7.7426843e-03	   1.9133717e-04	   1.8898002e-04	
   3.9964573e-02	   1.6185253e-03	   2.6773732e-02	   8.1751375e-04	   2.3349239e-02	   7.5004029e-04	   7.0441385e-04	
   5.9914593e-02	   3.0268727e-03	   4.6550808e-02	   1.8632765e-03	   4.3062791e-02	   1.8099108e-03	   1.6788388e-03	
   7.9832456e-02	   4.8339120e-03	   6.2967449e-02	   3.0269013e-03	   6.2777899e-02	   3.2462000e-03	   3.0134659e-03	
   9.9710195e-02	   7.0389204e-03	   8.5933866e-02	   5.1244884e-03	   8.2259111e-02	   5.0535942e-03	   4.7888627e-03	
   1.1953986e-01	   9.6410162e-03	   1.0562218e-01	   7.3558444e-03	   1.0197946e-01	   7.2590709e-03	   6.9430003e-03	
   1.3931353e-01	   1.2639159e-02	   1.2204127e-01	   9.5235184e-03	   1.1862026e-01	   9.4221290e-03	   9.0718719e-03	
   1.5902328e-01	   1.6032149e-02	   1.4164818e-01	   1.2478865e-02	   1.3799861e-01	   1.2295237e-02	   1.1928766e-02	
   1.7866124e-01	   1.9818630e-02	   1.6117132e-01	   1.5812539e-02	   1.5709557e-01	   1.5490291e-02	   1.5116584e-02	
   1.9821954e-01	   2.3997086e-02	   1.8039110e-01	   1.9527071e-02	   1.7679489e-01	   1.9200934e-02	   1.8832045e-02	
   2.1769037e-01	   2.8565845e-02	   1.9975314e-01	   2.3690226e-02	   1.9951248e-01	   2.3953812e-02	   2.3638480e-02	
   2.3706593e-01	   3.3523081e-02	   2.1904678e-01	   2.8247490e-02	   2.1872902e-01	   2.8366784e-02	   2.8172433e-02	
   2.5633847e-01	   3.8866811e-02	   2.3821559e-01	   3.3181641e-02	   2.3491178e-01	   3.2407202e-02	   3.2331223e-02	
   2.7550030e-01	   4.4594898e-02	   2.5731811e-01	   3.8495571e-02	   2.5699469e-01	   3.8395211e-02	   3.8405602e-02	
   2.9454375e-01	   5.0705052e-02	   2.7921294e-01	   4.5105998e-02	   2.7908662e-01	   4.4909034e-02	   4.5067860e-02	
   3.1346119e-01	   5.7194827e-02	   2.9802199e-01	   5.1277946e-02	   2.9791090e-01	   5.0941695e-02	   5.1241492e-02	
   3.3224506e-01	   6.4061629e-02	   3.1672343e-01	   5.7836459e-02	   3.1678331e-01	   5.7392843e-02	   5.7858794e-02	
   3.5088785e-01	   7.1302708e-02	   3.3524392e-01	   6.4744923e-02	   3.3521789e-01	   6.4021796e-02	   6.4735214e-02	
   3.6938209e-01	   7.8915168e-02	   3.5064778e-01	   7.0805969e-02	   3.5363680e-01	   7.1056649e-02	   7.2045109e-02	
   3.8772039e-01	   8.6895966e-02	   3.6896788e-01	   7.8400818e-02	   3.6886382e-01	   7.7218272e-02	   7.8357678e-02	
   4.0589542e-01	   9.5241910e-02	   3.8691775e-01	   8.6288521e-02	   3.8710526e-01	   8.4964611e-02	   8.6375787e-02	
   4.2389992e-01	   1.0394966e-01	   4.0487720e-01	   9.4647096e-02	   4.0520397e-01	   9.3038581e-02	   9.4807074e-02	
   4.4172667e-01	   1.1301574e-01	   4.2260654e-01	   1.0332684e-01	   4.2599657e-01	   1.0270828e-01	   1.0506918e-01	
   4.5936854e-01	   1.2243652e-01	   4.4023086e-01	   1.1238502e-01	   4.4090423e-01	   1.0996115e-01	   1.1274817e-01	
   4.7681849e-01	   1.3220822e-01	   4.5768954e-01	   1.2180045e-01	   4.5852593e-01	   1.1891796e-01	   1.2227323e-01	
   4.9406951e-01	   1.4232695e-01	   4.7494086e-01	   1.3155202e-01	   4.7575346e-01	   1.2813772e-01	   1.3203518e-01	
   5.1111473e-01	   1.5278865e-01	   4.9181923e-01	   1.4158782e-01	   4.9277121e-01	   1.3768767e-01	   1.4217944e-01	
   5.2794732e-01	   1.6358913e-01	   5.0856323e-01	   1.5199358e-01	   5.1291883e-01	   1.4951259e-01	   1.5482066e-01	
   5.4456055e-01	   1.7472409e-01	   5.2517916e-01	   1.6277847e-01	   5.2975792e-01	   1.5981781e-01	   1.6589281e-01	
   5.6094777e-01	   1.8618907e-01	   5.4428277e-01	   1.7577223e-01	   5.4913700e-01	   1.7221817e-01	   1.7922916e-01	
   5.7710243e-01	   1.9797947e-01	   5.6044813e-01	   1.8728439e-01	   5.6575763e-01	   1.8337934e-01	   1.9121736e-01	
   5.9301807e-01	   2.1009059e-01	   5.7359097e-01	   1.9701985e-01	   5.7649851e-01	   1.9085374e-01	   1.9925651e-01	
   6.0868832e-01	   2.2251758e-01	   5.8920596e-01	   2.0903183e-01	   5.9515202e-01	   2.0427780e-01	   2.1379660e-01	
   6.2410691e-01	   2.3525546e-01	   6.0465950e-01	   2.2141525e-01	   6.1101234e-01	   2.1620275e-01	   2.2671830e-01	
   6.3926767e-01	   2.4829915e-01	   6.1987745e-01	   2.3411846e-01	   6.2668294e-01	   2.2845839e-01	   2.4003404e-01	
