0.000000  0.000000  -0.000011 0.000041  0.000000  0.000000  0.000041  
0.009999  0.000161  -0.000011 0.000042  0.000000  0.000000  0.000041  
0.019997  0.000322  0.004288  0.000044  0.001240  0.000021  0.000042  
0.029996  0.000482  0.014300  0.000051  0.011210  0.000231  0.000049  
0.039995  0.000643  0.024322  0.000057  0.021028  0.000453  0.000055  
0.049994  0.000804  0.034352  0.000062  0.031125  0.000681  0.000060  
0.059992  0.000965  0.044381  0.000067  0.040892  0.000905  0.000065  
0.069991  0.001126  0.069198  0.000080  0.065234  0.001492  0.000078  
0.079990  0.001286  0.072538  0.000083  0.066929  0.001537  0.000079  
0.089988  0.001447  0.082513  0.000090  0.078441  0.001840  0.000087  
0.099987  0.001608  0.092497  0.000098  0.088233  0.002111  0.000094  
0.109986  0.001769  0.102492  0.000106  0.098378  0.002398  0.000103  
0.119984  0.001930  0.112497  0.000115  0.108423  0.002680  0.000111  
0.129983  0.002090  0.122514  0.000123  0.118240  0.002948  0.000120  
0.139982  0.002251  0.132540  0.000131  0.127981  0.003199  0.000128  
0.149981  0.002412  0.142572  0.000139  0.137647  0.003443  0.000135  
0.159979  0.002573  0.152589  0.000146  0.147540  0.003695  0.000142  
0.169978  0.002734  0.162433  0.000154  0.159052  0.003991  0.000151  
0.179977  0.002894  0.172404  0.000162  0.167276  0.004206  0.000158  
0.189975  0.003055  0.182377  0.000171  0.177194  0.004467  0.000167  
0.199974  0.003216  0.192357  0.000182  0.188630  0.004778  0.000178  
0.209973  0.003377  0.202348  0.000193  0.198574  0.005051  0.000189  
0.219972  0.003538  0.212349  0.000204  0.208390  0.005321  0.000199  
0.229970  0.003698  0.222362  0.000215  0.218460  0.005593  0.000211  
0.239969  0.003859  0.232385  0.000226  0.228404  0.005859  0.000222  
0.249968  0.004020  0.242416  0.000236  0.238272  0.006118  0.000232  
0.259966  0.004181  0.252443  0.000246  0.248089  0.006373  0.000242  
0.269965  0.004342  0.262284  0.000256  0.257729  0.006628  0.000251  
0.279964  0.004502  0.272271  0.000267  0.267546  0.006900  0.000262  
0.289963  0.004663  0.282241  0.000279  0.277261  0.007183  0.000273  
0.299961  0.004824  0.292219  0.000292  0.287254  0.007490  0.000286  
0.309960  0.004985  0.302206  0.000306  0.297272  0.007794  0.000299  
0.319959  0.005145  0.312203  0.000320  0.307265  0.008092  0.000313  
0.329957  0.005306  0.322211  0.000335  0.318802  0.008432  0.000330  
0.339956  0.005467  0.332230  0.000349  0.328442  0.008710  0.000343  
0.349955  0.005628  0.342259  0.000362  0.338284  0.008987  0.000357  
0.359953  0.005789  0.352290  0.000375  0.348176  0.009263  0.000370  
0.369952  0.005949  0.362266  0.000386  0.358018  0.009539  0.000381  
0.379951  0.006110  0.372138  0.000402  0.368012  0.009824  0.000395  
0.389950  0.006271  0.382108  0.000417  0.377727  0.010105  0.000411  
0.399948  0.006432  0.392082  0.000433  0.387543  0.010395  0.000426  
0.409947  0.006593  0.402065  0.000450  0.397334  0.010688  0.000442  
0.419946  0.006753  0.412058  0.000468  0.407251  0.010988  0.000459  
0.429944  0.006914  0.422063  0.000485  0.417472  0.011298  0.000477  
0.439943  0.007075  0.432078  0.000503  0.427339  0.011588  0.000494  
0.449942  0.007236  0.442103  0.000520  0.437409  0.011875  0.000512  
0.459941  0.007397  0.452135  0.000536  0.447048  0.012144  0.000528  
0.469939  0.007557  0.462156  0.000553  0.456789  0.012420  0.000544  
0.479938  0.007718  0.471999  0.000570  0.466504  0.012703  0.000560  
0.489937  0.007879  0.481972  0.000588  0.476447  0.013011  0.000578  
0.499935  0.008040  0.491943  0.000607  0.487982  0.013383  0.000600  
0.509934  0.008201  0.501923  0.000627  0.496128  0.013644  0.000616  
0.519933  0.008361  0.511913  0.000648  0.507790  0.014026  0.000639  
0.529931  0.008522  0.521913  0.000669  0.517631  0.014342  0.000660  
0.539930  0.008683  0.531924  0.000690  0.527472  0.014658  0.000681  
0.549929  0.008844  0.541946  0.000711  0.537388  0.014972  0.000701  
0.559928  0.009005  0.551976  0.000731  0.547356  0.015278  0.000722  
0.569926  0.009165  0.562005  0.000751  0.557248  0.015578  0.000741  
0.579925  0.009326  0.571836  0.000771  0.567089  0.015875  0.000761  
0.589924  0.009487  0.581838  0.000792  0.576728  0.016170  0.000781  
0.599922  0.009648  0.591808  0.000815  0.586519  0.016475  0.000803  
0.609921  0.009809  0.601784  0.000839  0.596410  0.016794  0.000826  
0.619920  0.009969  0.611770  0.000864  0.606403  0.017120  0.000850  
0.629919  0.010130  0.621766  0.000889  0.618090  0.017497  0.000879  
0.639917  0.010291  0.631773  0.000914  0.626413  0.017762  0.000900  
0.649916  0.010452  0.641791  0.000939  0.636305  0.018073  0.000925  
0.659915  0.010613  0.651819  0.000963  0.646044  0.018379  0.000949  
0.669913  0.010773  0.661851  0.000987  0.657429  0.018732  0.000976  
0.679912  0.010934  0.671852  0.001010  0.667219  0.019051  0.000999  
0.689911  0.011095  0.681703  0.001036  0.677185  0.019391  0.001024  
0.699909  0.011256  0.691673  0.001063  0.687076  0.019731  0.001051  
0.709908  0.011417  0.701646  0.001091  0.696916  0.020072  0.001078  
0.719907  0.011577  0.711628  0.001119  0.706705  0.020411  0.001105  
0.729906  0.011738  0.721621  0.001148  0.716570  0.020762  0.001134  
0.739904  0.011899  0.731624  0.001178  0.726612  0.021130  0.001163  
