0.000000  0.000000  -0.000006 0.000010  0.000000  0.000000  0.002151  
0.019994  0.000478  -0.000006 0.000010  0.000000  0.000000  0.002151  
0.039974  0.001355  0.006302  0.000092  0.000000  0.000000  0.002151  
0.059933  0.002632  0.026136  0.000569  0.000000  0.000000  0.002151  
0.079863  0.004308  0.045978  0.001440  0.000000  0.000000  0.002151  
0.099754  0.006382  0.065748  0.002686  0.000000  0.000000  0.002151  
0.119601  0.008853  0.085475  0.004322  0.008225  0.000146  0.205838  
0.139394  0.011721  0.105181  0.006357  0.020495  0.000499  1.519067  
0.159125  0.014984  0.124864  0.008790  0.040040  0.001388  1.488394  
0.178788  0.018641  0.144520  0.011621  0.069583  0.003419  0.412699  
0.198375  0.022691  0.164102  0.014837  0.092567  0.005553  0.762324  
0.217876  0.027132  0.183512  0.018434  0.105650  0.006988  0.056638  
0.237285  0.031962  0.209295  0.023841  0.125485  0.009510  0.075571  
0.256593  0.037179  0.228604  0.028365  0.157577  0.014464  1.416861  
0.275793  0.042781  0.247822  0.033279  0.167349  0.016184  0.364655  
0.294877  0.048765  0.266938  0.038569  0.196700  0.021972  1.433942  
0.313837  0.055131  0.285881  0.044222  0.212871  0.025508  0.619645  
0.332666  0.061873  0.304740  0.050273  0.231963  0.030008  0.589380  
0.351356  0.068991  0.345249  0.064715  0.260461  0.037476  1.656148  
0.369899  0.076481  0.363712  0.071959  0.295147  0.047721  1.596143  
0.388289  0.084341  0.382004  0.079556  0.301560  0.049770  0.849903  
0.406518  0.092566  0.403102  0.088875  0.317171  0.054962  1.935863  
0.424578  0.101155  0.421032  0.097270  0.345080  0.064862  0.094525  
0.442463  0.110102  0.438804  0.106024  0.372342  0.075483  1.777240  
0.460165  0.119406  0.456415  0.115138  0.381389  0.079237  0.187554  
0.477678  0.129062  0.473862  0.124609  0.411978  0.092671  1.336108  
0.494994  0.139066  0.491059  0.134400  0.426639  0.099500  1.773900  
0.512107  0.149415  0.508044  0.144532  0.446208  0.109031  1.513512  
0.529010  0.160104  0.524846  0.155012  0.449261  0.110566  1.095263  
0.545696  0.171129  0.541453  0.165836  0.456769  0.114397  0.248732  
0.562158  0.182486  0.557859  0.177000  0.467940  0.120234  0.933591  
0.578390  0.194170  0.589912  0.200247  0.479439  0.126428  1.721358  
0.594386  0.206176  0.605581  0.212346  0.522207  0.151206  0.519488  
0.610138  0.218500  0.621020  0.224769  0.527813  0.154651  1.249327  
0.625641  0.231136  0.636224  0.237512  0.538862  0.161568  0.524058  
0.640889  0.244080  0.651187  0.250570  0.568875  0.181519  1.805928  
0.655874  0.257326  0.665819  0.263852  0.590232  0.196732  0.316070  
0.670591  0.270869  0.680205  0.277448  0.603545  0.206569  0.496603  
0.685034  0.284704  0.694325  0.291342  0.624498  0.222751  1.460229  
0.699197  0.298825  0.708178  0.305531  0.637428  0.233167  0.667510  
0.713076  0.313227  0.721720  0.319968  0.655122  0.247991  1.653453  
0.726664  0.327903  0.735020  0.334702  0.669827  0.260896  1.659373  
0.739955  0.342848  0.760644  0.364868  0.691643  0.280921  0.674096  
0.752946  0.358057  0.775027  0.382938  0.694034  0.283181  0.332882  
0.765629  0.373521  0.787010  0.398676  0.715233  0.303929  1.254309  
0.778000  0.389236  0.798716  0.414682  0.739971  0.329825  1.651418  
0.790055  0.405195  0.810094  0.430902  0.755562  0.347121  1.109723  
0.801787  0.421392  0.821140  0.447345  0.768506  0.362094  1.156887  
0.813194  0.437820  0.831855  0.464016  0.781304  0.377457  1.082355  
0.824269  0.454472  0.842212  0.480847  0.785516  0.382644  0.577716  
0.835009  0.471342  0.852269  0.497930  0.805615  0.408342  0.971376  
0.845409  0.488424  0.861999  0.515230  0.817328  0.424171  0.911017  
