  -2.4046770e-10	  -2.4883111e-09	  -5.8717681e-07	   9.2556527e-06	  -2.5192327e-05	   2.4449002e-06	             NaN	
   1.9924259e-02	  -1.7350985e-03	  -5.9587559e-07	   9.3926509e-06	  -2.5670180e-10	  -2.6427258e-09	   9.1957577e-06	
   3.9879234e-02	  -3.0713890e-03	   1.3323398e-02	  -1.3504525e-03	   7.5102565e-03	  -6.9740001e-04	  -7.5722339e-04	
   5.9856943e-02	  -4.0083393e-03	   3.6455883e-02	  -3.3763598e-03	   3.2919433e-02	  -2.6935146e-03	  -3.0666430e-03	
   7.9849392e-02	  -4.5455747e-03	   5.5977897e-02	  -4.6867245e-03	   5.2827485e-02	  -3.8995645e-03	  -4.4752612e-03	
   9.9848585e-02	  -4.6828803e-03	   7.2389838e-02	  -5.5246585e-03	   6.9390953e-02	  -4.6010311e-03	  -5.3715463e-03	
   1.1984653e-01	  -4.4202013e-03	   1.0545817e-01	  -6.3816467e-03	   1.0206108e-01	  -5.1460578e-03	  -6.2936088e-03	
   1.3983521e-01	  -3.7576425e-03	   1.2529347e-01	  -6.3647006e-03	   1.2203033e-01	  -4.9889744e-03	  -6.3674884e-03	
   1.5980666e-01	  -2.6954692e-03	   1.4496553e-01	  -5.9627019e-03	   1.4520553e-01	  -4.3442571e-03	  -5.9537695e-03	
   1.7975287e-01	  -1.2341056e-03	   1.6470739e-01	  -5.2279311e-03	   1.6479874e-01	  -3.4089526e-03	  -5.2227400e-03	
   1.9966586e-01	   6.2586300e-04	   1.8447192e-01	  -4.1047702e-03	   1.8452036e-01	  -2.0662830e-03	  -4.1010369e-03	
   2.1953767e-01	   2.8836923e-03	   2.0422115e-01	  -2.5826682e-03	   2.0388252e-01	  -3.4740946e-04	  -2.6087672e-03	
   2.3936035e-01	   5.5384794e-03	   2.2395536e-01	  -6.6079213e-04	   2.1694735e-01	   1.0195929e-03	  -1.3432885e-03	
   2.5912597e-01	   8.5891630e-03	   2.4363280e-01	   1.6531516e-03	   2.4306773e-01	   4.2738472e-03	   1.5867030e-03	
   2.7882663e-01	   1.2034523e-02	   2.6327502e-01	   4.3541248e-03	   2.6270071e-01	   7.1554948e-03	   4.2751513e-03	
   2.9845446e-01	   1.5873182e-02	   2.8262550e-01	   7.4185172e-03	   2.8210673e-01	   1.0343368e-02	   7.3363625e-03	
   3.1800159e-01	   2.0103603e-02	   3.0210250e-01	   1.0948032e-02	   3.0161762e-01	   1.3959353e-02	   1.0860165e-02	
   3.3746021e-01	   2.4724095e-02	   3.2152803e-01	   1.4875651e-02	   3.2080188e-01	   1.7926671e-02	   1.4728833e-02	
   3.5682253e-01	   2.9732809e-02	   3.4084179e-01	   1.9182313e-02	   3.4008893e-01	   2.2257993e-02	   1.9014439e-02	
   3.7608080e-01	   3.5127740e-02	   3.6010427e-01	   2.3875819e-02	   3.5944268e-01	   2.6970282e-02	   2.3714616e-02	
   3.9522734e-01	   4.0906732e-02	   3.7927280e-01	   2.8949975e-02	   3.7855679e-01	   3.2010134e-02	   2.8760438e-02	
   4.1425447e-01	   4.7067474e-02	   3.9809766e-01	   3.4371200e-02	   4.0061140e-01	   3.8289171e-02	   3.5153340e-02	
   4.3315460e-01	   5.3607503e-02	   4.1701205e-01	   4.0256344e-02	   4.1932514e-01	   4.4082750e-02	   4.1026295e-02	
   4.5192015e-01	   6.0524201e-02	   4.3576492e-01	   4.6498545e-02	   4.3486667e-01	   4.9243029e-02	   4.6199548e-02	
   4.7054363e-01	   6.7814802e-02	   4.5444262e-01	   5.3127828e-02	   4.5665386e-01	   5.6944244e-02	   5.3962404e-02	
   4.8901758e-01	   7.5476390e-02	   4.7300252e-01	   6.0132764e-02	   4.7541189e-01	   6.4013220e-02	   6.1097615e-02	
   5.0733461e-01	   8.3505898e-02	   4.9132909e-01	   6.7471771e-02	   4.9356413e-01	   7.1244426e-02	   6.8425360e-02	
   5.2548740e-01	   9.1900115e-02	   5.0941589e-01	   7.5188587e-02	   5.1160449e-01	   7.8816004e-02	   7.6173182e-02	
   5.4346868e-01	   1.0065568e-01	   5.2743446e-01	   8.3294698e-02	   5.3584832e-01	   8.9639619e-02	   8.7386260e-02	
   5.6127127e-01	   1.0976911e-01	   5.6308666e-01	   1.0063194e-01	   5.6551522e-01	   1.0386872e-01	   1.0190392e-01	
   5.7888805e-01	   1.1923674e-01	   5.8066681e-01	   1.0983973e-01	   5.8326942e-01	   1.1289998e-01	   1.1127176e-01	
   5.9631196e-01	   1.2905478e-01	   5.9779251e-01	   1.1926280e-01	   6.0057670e-01	   1.2213166e-01	   1.2086883e-01	
   6.1353604e-01	   1.3921932e-01	   6.1492817e-01	   1.2914732e-01	   6.1757737e-01	   1.3166012e-01	   1.3074706e-01	
   6.3055339e-01	   1.4972629e-01	   6.3188298e-01	   1.3938562e-01	   6.3464850e-01	   1.4172617e-01	   1.4113209e-01	
   6.4735722e-01	   1.6057147e-01	   6.4864678e-01	   1.4997221e-01	   6.5141785e-01	   1.5209626e-01	   1.5180060e-01	
   6.6394079e-01	   1.7175054e-01	   6.6521173e-01	   1.6090200e-01	   6.6791922e-01	   1.6270186e-01	   1.6276496e-01	
   6.8029748e-01	   1.8325903e-01	   6.8146333e-01	   1.7208438e-01	   6.8723434e-01	   1.7566162e-01	   1.7623147e-01	
   6.9642075e-01	   1.9509232e-01	   6.9741196e-01	   1.8354517e-01	   7.0333958e-01	   1.8694793e-01	   1.8799238e-01	
   7.1230415e-01	   2.0724570e-01	   7.1325011e-01	   1.9542779e-01	   7.1920204e-01	   1.9848700e-01	   2.0008322e-01	
   7.2794132e-01	   2.1971429e-01	   7.2886155e-01	   2.0763860e-01	   7.3496217e-01	   2.1041869e-01	   2.1261066e-01	
