-0.000000 -0.000000 -0.000014 0.000062  -0.000000 -0.000000 0.000061  
0.014950  -0.001222 -0.000014 0.000062  -0.000000 -0.000000 0.000061  
0.029900  -0.002443 0.003092  -0.000193 0.001060  -0.000086 -0.000026 
0.044851  -0.003665 0.018053  -0.001421 0.013346  -0.001073 -0.001034 
0.059801  -0.004886 0.033031  -0.002651 0.027727  -0.002232 -0.002215 
0.074751  -0.006108 0.048005  -0.003883 0.044832  -0.003607 -0.003622 
0.089701  -0.007329 0.062817  -0.005114 0.059718  -0.004800 -0.004856 
0.104651  -0.008551 0.077737  -0.006365 0.072029  -0.005795 -0.005887 
0.119601  -0.009772 0.092668  -0.007617 0.089107  -0.007203 -0.007319 
0.134552  -0.010994 0.107614  -0.008870 0.103712  -0.008404 -0.008543 
0.149502  -0.012215 0.122576  -0.010125 0.118572  -0.009600 -0.009790 
0.164452  -0.013437 0.137553  -0.011383 0.133408  -0.010776 -0.011035 
0.179402  -0.014658 0.152518  -0.012640 0.147866  -0.011928 -0.012249 
0.194352  -0.015880 0.167329  -0.013900 0.162422  -0.013103 -0.013483 
0.209303  -0.017101 0.182247  -0.015178 0.177331  -0.014330 -0.014757 
0.224253  -0.018323 0.197177  -0.016456 0.192013  -0.015520 -0.016014 
0.239203  -0.019544 0.212122  -0.017736 0.206597  -0.016675 -0.017263 
0.254153  -0.020766 0.227084  -0.019017 0.221057  -0.017798 -0.018501 
0.269103  -0.021987 0.242059  -0.020301 0.235670  -0.018906 -0.019753 
0.284053  -0.023209 0.257011  -0.021585 0.250435  -0.020008 -0.021020 
0.299004  -0.024430 0.271823  -0.022872 0.265175  -0.021116 -0.022294 
0.313954  -0.025652 0.286739  -0.024177 0.279838  -0.022238 -0.023573 
0.328904  -0.026873 0.301668  -0.025482 0.296971  -0.023589 -0.025071 
0.343854  -0.028095 0.316613  -0.026788 0.311756  -0.024764 -0.026363 
0.358804  -0.029316 0.331573  -0.028096 0.326567  -0.025936 -0.027658 
0.373755  -0.030538 0.346547  -0.029407 0.341102  -0.027063 -0.028930 
0.388705  -0.031759 0.361471  -0.030713 0.355612  -0.028197 -0.030200 
0.403655  -0.032981 0.376301  -0.032033 0.370524  -0.029369 -0.031519 
0.418605  -0.034202 0.391216  -0.033364 0.385284  -0.030547 -0.032834 
0.433555  -0.035424 0.406144  -0.034695 0.399893  -0.031706 -0.034137 
0.448505  -0.036645 0.421088  -0.036028 0.414454  -0.032829 -0.035436 
0.463456  -0.037867 0.436047  -0.037362 0.429043  -0.033926 -0.036737 
0.478406  -0.039088 0.451019  -0.038700 0.443759  -0.035004 -0.038051 
0.493356  -0.040310 0.465893  -0.040027 0.458325  -0.036062 -0.039352 
0.508306  -0.041531 0.480763  -0.041380 0.475415  -0.037317 -0.040893 
0.523256  -0.042753 0.495676  -0.042737 0.490205  -0.038432 -0.042239 
0.538207  -0.043974 0.510603  -0.044094 0.505044  -0.039566 -0.043589 
0.553157  -0.045196 0.525545  -0.045454 0.519934  -0.040699 -0.044943 
0.568107  -0.046417 0.540504  -0.046815 0.534371  -0.041786 -0.046257 
0.583057  -0.047639 0.555474  -0.048179 0.548960  -0.042872 -0.047586 
0.598007  -0.048860 0.570296  -0.049530 0.563752  -0.043969 -0.048933 
0.612957  -0.050082 0.585208  -0.050913 0.578619  -0.045079 -0.050302 
0.627908  -0.051303 0.600120  -0.052296 0.593282  -0.046191 -0.051662 
0.642858  -0.052525 0.615046  -0.053680 0.607769  -0.047281 -0.053005 
0.657808  -0.053746 0.629987  -0.055065 0.622511  -0.048361 -0.054372 
0.672758  -0.054968 0.644945  -0.056453 0.637180  -0.049403 -0.055733 
0.687708  -0.056189 0.659912  -0.057843 0.651724  -0.050415 -0.057083 
0.702659  -0.057411 0.674717  -0.059220 0.671065  -0.051758 -0.058880 
0.717609  -0.058632 0.689637  -0.060630 0.683437  -0.052626 -0.060044 
0.732559  -0.059854 0.704548  -0.062039 0.698333  -0.053681 -0.061452 
0.747509  -0.061075 0.719472  -0.063449 0.713278  -0.054754 -0.062864 
0.762459  -0.062297 0.734413  -0.064861 0.727794  -0.055804 -0.064235 
0.777409  -0.063518 0.749369  -0.066274 0.739912  -0.056670 -0.065380 
0.792360  -0.064740 0.764334  -0.067690 0.757132  -0.057883 -0.067009 
0.807310  -0.065961 0.779150  -0.069097 0.771927  -0.058924 -0.068411 
0.822260  -0.067183 0.794048  -0.070531 0.786520  -0.059964 -0.069806 
0.837210  -0.068404 0.808957  -0.071965 0.801186  -0.061030 -0.071218 
0.852160  -0.069626 0.823881  -0.073401 0.815955  -0.062092 -0.072639 
0.867111  -0.070847 0.838820  -0.074839 0.830650  -0.063115 -0.074053 
0.882061  -0.072069 0.853776  -0.076279 0.845120  -0.064093 -0.075446 
0.897011  -0.073290 0.868737  -0.077721 0.859617  -0.065050 -0.076842 
0.911961  -0.074512 0.883536  -0.079154 0.874240  -0.066012 -0.078254 
0.926911  -0.075733 0.898439  -0.080615 0.889141  -0.066999 -0.079703 
0.941861  -0.076955 0.913347  -0.082076 0.904040  -0.068004 -0.081164 
0.956812  -0.078177 0.928270  -0.083538 0.921185  -0.069188 -0.082844 
0.971762  -0.079398 0.943208  -0.085002 0.933281  -0.070022 -0.084029 
0.986712  -0.080620 0.958162  -0.086469 0.950554  -0.071183 -0.085722 
